year,make,model,body_style(s),trim(s),image_source(s)
1996,BMW,8 Series,['Coupe'],"{'Coupe': {'840Ci Coupe 2D': {'Horsepower': '282 @ 5700 rpm HP', 'Engine': 'V8, 4.4 Liter', 'Combined Fuel Economy': '16 MPG', 'Seating': 'Seats 4'}, '850Ci Coupe 2D': {'Horsepower': '322 @ 5000 rpm HP', 'Engine': 'V12, 5.4 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 4'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-8%20Series-FrontSide_BM840961_506x365.jpg?interpolation=high-quality&downsize=391:*'}
1996,BMW,M3,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '240 @ 6000 rpm HP', 'Engine': '6-Cyl, 3.2 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-M3-FrontSide_BMM3-961_506x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,BMW,Z3,['Convertible'],"{'Convertible': {'Roadster 2D': {'Horsepower': '138 @ 6000 rpm HP', 'Engine': '4-Cyl, 1.9 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 2'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-BMW-Z3-FrontSide_BMZ3-961_505x365.jpg?interpolation=high-quality&downsize=391:*'}
1996,Buick,Century,"['Wagon', 'Sedan']","{'Sedan': {'Sedan 4D': {'Horsepower': '160 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 6'}}, 'Wagon': {'Wagon 4D': {'Horsepower': '160 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 8'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Century-FrontSide_BUCNT962_506x335.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Century-FrontSide_BUCNTWAG961_506x335.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Buick,LeSabre,['Sedan'],"{'Sedan': {'Limited Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}, 'Custom Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-LeSabre-FrontSide_BULES961_506x335.jpg?interpolation=high-quality&downsize=391:*'}
1996,Buick,Park Avenue,['Sedan'],"{'Sedan': {'Ultra Sedan 4D': {'Horsepower': '240 @ 5200 rpm HP', 'Engine': 'V6, Supercharged, 3.8L', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 6'}, 'Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Park%20Avenue-FrontSide_BUPRK961_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,Buick,Regal,"['Coupe', 'Sedan']","{'Sedan': {'Gran Sport Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}, 'Limited Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}, 'Custom Sedan 4D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}}, 'Coupe': {'Custom Coupe 2D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 6'}, 'Gran Sport Coupe 2D': {'Horsepower': '205 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Regal-Front_BURGL952_375x251.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Regal-FrontSide_BURGL961_505x375.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Buick,Riviera,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '240 @ 5200 rpm HP', 'Engine': 'V6, Supercharged, 3.8L', 'Combined Fuel Economy': '19 MPG', 'Seating': 'Seats 6'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Riviera-FrontSide_BURIV961_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,Buick,Roadmaster,"['Sedan', 'Wagon']","{'Sedan': {'Limited Sedan 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}, 'Sedan 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}}, 'Wagon': {'Estate Wagon 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 8'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Roadmaster-FrontSide_BURDMLTD962_506x336.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Roadmaster-FrontSide_BURDM961_506x332.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Buick,Skylark,"['Coupe', 'Sedan']","{'Sedan': {'Custom Sedan 4D': {'Horsepower': '155 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}, 'Coupe': {'Custom Coupe 2D': {'Horsepower': '155 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Skylark-FrontSide_BUSKYSED964_506x327.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Buick-Skylark-FrontSide_BUSKYCPE961_506x336.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Cadillac,DeVille,['Sedan'],"{'Sedan': {'Concours Sedan 4D': {'Horsepower': '300 @ 6000 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}, 'Sedan 4D': {'Horsepower': '275 @ 5600 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Cadillac-DeVille-FrontSide_CADEV961_505x361.jpg?interpolation=high-quality&downsize=391:*'}
1996,Cadillac,Eldorado,['Coupe'],"{'Coupe': {'Coupe 2D': {'Horsepower': '275 @ 5600 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'Touring Coupe 2D': {'Horsepower': '300 @ 6000 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Cadillac-Eldorado-FrontSide_CAELD961_505x362.jpg?interpolation=high-quality&downsize=391:*'}
1996,Cadillac,Fleetwood,['Sedan'],"{'Sedan': {'Sedan 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Cadillac-Fleetwood-FrontSide_CAFLT961_505x343.jpg?interpolation=high-quality&downsize=391:*'}
1996,Cadillac,Seville,['Sedan'],"{'Sedan': {'STS Touring Sedan 4D': {'Horsepower': '300 @ 6000 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}, 'SLS Sedan 4D': {'Horsepower': '275 @ 5600 rpm HP', 'Engine': 'V8, 4.6 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Cadillac-Seville-FrontSide_CASEV961_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,1500 Extended Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 6'}, 'Short Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 6'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-1500%20Extended%20Cab-FrontSide_CT15E961_506x299.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,1500 Regular Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 3'}, 'Short Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '14 MPG', 'Seating': 'Seats 3'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-1500%20Regular%20Cab-FrontSide_CT15R966_504x332.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,2500 Extended Cab,['Pickup'],"{'Pickup': {'Short Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 6'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-2500%20Extended%20Cab-RearSide_CTPUE972_506x368.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,2500 HD Extended Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Seating': 'Seats 6'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-2500%20HD%20Extended%20Cab-FrontSide_CT25E961_506x355.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,2500 Regular Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '13 MPG', 'Seating': 'Seats 3'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-2500%20Regular%20Cab-Rear_CT25R961_506x352.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,3500 Crew Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '290 @ 4200 rpm HP', 'Engine': 'V8, 454/7.4 Liter', 'Seating': 'Seats 6'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-3500%20Crew%20Cab-FrontSide_CT35C961_506x337.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,3500 Extended Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '290 @ 4200 rpm HP', 'Engine': 'V8, 454/7.4 Liter', 'Seating': 'Seats 6'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-3500%20Extended%20Cab-FrontSide_CT35E961_506x355.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,3500 Regular Cab,['Pickup'],"{'Pickup': {'Long Bed': {'Horsepower': '250 @ 4600 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Seating': 'Seats 3'}}}",{'Pickup': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-3500%20Regular%20Cab-FrontSide_CTPUR971_506x374.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,Astro Cargo,['Van/Minivan'],"{'Van/Minivan': {'Minivan': {'Horsepower': '190 @ 4400 rpm HP', 'Engine': 'V6, High Output, 4.3L', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 2'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Astro%20Cargo-FrontSide_CTASC931_505x246.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,Astro Passenger,['Van/Minivan'],"{'Van/Minivan': {'Minivan': {'Horsepower': '190 @ 4400 rpm HP', 'Engine': 'V6, High Output, 4.3L', 'Combined Fuel Economy': '15 MPG', 'Seating': 'Seats 8'}}}",{'Van/Minivan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Astro%20Passenger-FrontSide_CTASP961_505x375.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,Beretta,['Coupe'],"{'Coupe': {'Z26 Coupe 2D': {'Horsepower': '160 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}, 'Coupe 2D': {'Horsepower': '160 @ 5200 rpm HP', 'Engine': 'V6, 3.1 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 5'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Beretta-Side_CHBRT961_506x343.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,Blazer,['SUV'],"{'SUV': {'Sport Utility 2D': {'Horsepower': '190 @ 4400 rpm HP', 'Engine': 'V6, High Output, 4.3L', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 5'}, 'Sport Utility 4D': {'Horsepower': '190 @ 4400 rpm HP', 'Engine': 'V6, High Output, 4.3L', 'Combined Fuel Economy': '17 MPG', 'Seating': 'Seats 6'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Blazer-Side_CTBLZ961_506x344.jpg?interpolation=high-quality&downsize=391:*'}
1996,Chevrolet,Camaro,"['Hatchback', 'Convertible']","{'Convertible': {'Convertible 2D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, 'RS Convertible 2D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, 'Z28 Convertible 2D': {'Horsepower': '285 @ 5200 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 4'}}, 'Hatchback': {'RS Coupe 2D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}, 'Z28 Coupe 2D': {'Horsepower': '285 @ 5200 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 4'}, 'Coupe 2D': {'Horsepower': '200 @ 5200 rpm HP', 'Engine': 'V6, 3.8 Liter', 'Combined Fuel Economy': '20 MPG', 'Seating': 'Seats 4'}}}","{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Camaro-FrontSide_CHCAMCONV962_506x330.jpg?interpolation=high-quality&downsize=391:*', 'Hatchback': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Camaro-Side_CHCAM961_506x331.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Chevrolet,Caprice Classic,"['Sedan', 'Wagon']","{'Sedan': {'Sedan 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter (Sed)', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 6'}}, 'Wagon': {'Wagon 4D': {'Horsepower': '260 @ 5000 rpm HP', 'Engine': 'V8, 5.7 Liter', 'Combined Fuel Economy': '18 MPG', 'Seating': 'Seats 8'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Caprice%20Classic-FrontSide_CHCAP961_506x360.jpg?interpolation=high-quality&downsize=391:*', 'Wagon': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Caprice%20Classic-RearSide_CHCAPWAG963_506x325.jpg?interpolation=high-quality&downsize=391:*'}"
1996,Chevrolet,Cavalier,"['Sedan', 'Coupe', 'Convertible']","{'Sedan': {'LS Sedan 4D': {'Horsepower': '120 @ 5200 rpm HP', 'Engine': '4-Cyl, 2.2 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, 'Sedan 4D': {'Horsepower': '120 @ 5200 rpm HP', 'Engine': '4-Cyl, 2.2 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}, 'Convertible': {'LS Convertible 2D': {'Horsepower': '150 @ 6000 rpm HP', 'Engine': '4-Cyl, 2.4 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 4'}}, 'Coupe': {'Z24 Coupe 2D': {'Horsepower': '150 @ 6000 rpm HP', 'Engine': '4-Cyl, 2.4 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}, 'Coupe 2D': {'Horsepower': '120 @ 5200 rpm HP', 'Engine': '4-Cyl, 2.2 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 5'}}}","{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Cavalier-Side_CHCAVLSSED962_506x350.jpg?interpolation=high-quality&downsize=391:*', 'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Cavalier-FrontSide_CHCAVLSCONV963_506x368.jpg?interpolation=high-quality&downsize=391:*', 'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/1996/1996-Chevrolet-Cavalier-Side_CHCAV961_506x316.jpg?interpolation=high-quality&downsize=391:*'}"
